student_id,name,class,archetype,attendance,assignment_delay,lms_activity,dvi,raw_dvi,status,baseline_confidence,baseline_attendance,baseline_submission_delay,baseline_lms_activity
CSE24001,Rahul,S5 CSE,rapid_decline,71.4%,22.0h,4.0/wk,93.8,93.8,TRIPWIRE,Established,92.0%,4.0h,18.0/wk
CSE24002,Arjun Nair,ECE S2,normal,95.2%,5.8h,2.0/wk,63.3,14.6,MONITORING,Established,94.4%,7.8h,3.8/wk
CSE24003,Anjali Krishnan,ECE S1,normal,85.7%,7.1h,1.0/wk,69.5,47.0,MONITORING,Established,92.9%,3.0h,3.8/wk
CSE24004,Akhil Raj,ECE S1,normal,95.2%,6.3h,2.0/wk,54.1,13.6,MONITORING,Established,88.9%,3.9h,2.9/wk
CSE24005,Priya Suresh,CSE S2,normal,95.2%,7.4h,2.0/wk,59.4,18.5,MONITORING,Established,95.2%,6.6h,4.7/wk
CSE24006,Vishnu Kumar,ECE S2,normal,97.6%,8.0h,2.0/wk,5.4,17.9,NORMAL,Established,88.9%,4.9h,3.6/wk
CSE24007,Sneha Pillai,CSE S3,normal,90.5%,6.2h,2.0/wk,6.2,20.8,NORMAL,Established,94.4%,7.1h,3.4/wk
CSE24008,Arun Varma,CSE S1,normal,92.9%,5.2h,0.0/wk,60.4,29.8,MONITORING,Established,95.2%,7.1h,3.4/wk
CSE24009,Kavya Mohan,CSE S2,normal,88.1%,6.4h,0.0/wk,14.3,47.8,NORMAL,Established,96.0%,3.2h,3.2/wk
CSE24010,Deepak Iyer,ECE S2,normal,95.2%,6.8h,2.0/wk,7.2,24.1,NORMAL,Established,88.9%,2.5h,3.4/wk
CSE24011,Lakshmi Das,CSE S3,normal,92.9%,5.2h,2.0/wk,2.7,9.0,NORMAL,Established,92.9%,4.6h,2.7/wk
CSE24012,Sanjay Nambiar,CSE S3,normal,85.7%,7.7h,0.0/wk,13.2,44.1,NORMAL,Established,91.3%,3.7h,4.1/wk
CSE24013,Divya Rajan,CSE S2,normal,95.2%,5.0h,0.0/wk,56.0,25.1,MONITORING,Established,90.5%,4.9h,3.4/wk
CSE24014,Vivek Babu,CSE S1,normal,95.2%,8.2h,2.0/wk,4.9,16.2,NORMAL,Established,94.4%,4.1h,2.9/wk
CSE24015,Meera Pillai,CSE S3,normal,95.2%,7.0h,3.0/wk,1.9,6.3,NORMAL,Established,92.9%,3.6h,1.1/wk
CSE24016,Rohit Menon,CSE S1,normal,97.6%,5.5h,1.0/wk,55.9,22.6,MONITORING,Established,95.2%,5.6h,3.8/wk
CSE24017,Nithya Krishnan,ECE S2,improver,76.2%,11.3h,0.0/wk,23.2,77.5,NORMAL,Established,96.8%,3.9h,4.5/wk
CSE24018,Kiran Suresh,ECE S2,improver,81.0%,8.8h,1.0/wk,14.6,48.6,NORMAL,Established,92.1%,6.6h,3.8/wk
CSE24019,Shreya Nair,CSE S2,improver,69.0%,7.6h,1.0/wk,73.5,64.2,TRIPWIRE,Established,94.4%,7.8h,4.7/wk
CSE24020,Anand Kumar,ECE S2,improver,69.0%,8.9h,1.0/wk,16.7,55.6,NORMAL,Established,94.4%,5.5h,1.6/wk
CSE24021,Pooja Varma,ECE S1,improver,69.0%,9.5h,1.0/wk,69.9,64.2,MONITORING,Established,97.6%,5.1h,2.5/wk
CSE24022,Ravi Pillai,ECE S2,slow_decline,81.0%,6.1h,0.0/wk,16.1,53.7,NORMAL,Established,94.4%,5.5h,2.9/wk
CSE24023,Geetha Raj,ECE S2,slow_decline,81.0%,10.4h,0.0/wk,69.0,41.5,MONITORING,Established,86.5%,6.5h,3.6/wk
CSE24024,Suresh Babu,CSE S1,slow_decline,83.3%,6.5h,0.0/wk,16.3,54.5,NORMAL,Established,96.0%,4.2h,5.4/wk
CSE24025,Amrita Mohan,CSE S1,slow_decline,81.0%,8.8h,0.0/wk,63.5,50.0,MONITORING,Established,85.7%,2.8h,3.8/wk
CSE24026,Vinod Iyer,CSE S3,slow_decline,76.2%,9.1h,1.0/wk,69.7,54.7,MONITORING,Established,90.5%,7.0h,3.4/wk
CSE24027,Rekha Das,ECE S1,slow_decline,76.2%,9.2h,0.0/wk,19.5,65.1,NORMAL,Established,97.6%,9.0h,3.6/wk
CSE24028,Manoj Nambiar,CSE S2,slow_decline,78.6%,7.2h,0.0/wk,66.2,44.1,MONITORING,Established,84.9%,4.3h,6.1/wk
CSE24029,Sindhu Rajan,CSE S2,slow_decline,81.0%,8.6h,0.0/wk,17.3,57.8,NORMAL,Established,96.0%,6.6h,3.6/wk
CSE24030,Ashwin Babu,ECE S2,rapid_decline,35.7%,8.0h,0.0/wk,77.7,66.7,TRIPWIRE,Established,92.1%,6.4h,1.4/wk
CSE24031,Haritha Pillai,ECE S1,rapid_decline,42.9%,8.6h,0.0/wk,67.1,67.1,MONITORING,Established,88.9%,6.5h,2.3/wk
CSE24032,Rajesh Nair,ECE S2,rapid_decline,52.4%,6.9h,0.0/wk,71.6,67.3,TRIPWIRE,Established,95.2%,5.1h,2.5/wk
CSE24033,Suma Krishnan,ECE S2,rapid_decline,50.0%,6.7h,0.0/wk,70.8,70.8,TRIPWIRE,Established,87.3%,3.6h,1.8/wk
CSE24034,Naveen Suresh,CSE S2,excused,96.7%,4.7h,0.0/wk,62.9,25.0,MONITORING,Established,86.5%,5.6h,2.9/wk
CSE24035,Chithra Kumar,ECE S2,excused,96.7%,6.5h,0.0/wk,65.3,25.0,MONITORING,Established,95.2%,7.0h,3.6/wk
CSE24036,Ajith Varma,ECE S1,excused,96.7%,7.1h,0.0/wk,8.6,28.6,NORMAL,Established,88.1%,4.6h,3.8/wk
CSE24037,Radha Menon,ECE S1,excused,86.7%,7.8h,0.0/wk,70.6,50.1,TRIPWIRE,Established,96.8%,4.6h,2.7/wk
CSE24038,Pramod Raj,CSE S1,excused,96.7%,5.8h,0.0/wk,7.7,25.5,NORMAL,Established,96.8%,5.6h,0.9/wk
CSE24039,Vidya Pillai,CSE S1,recovery,71.4%,7.1h,1.0/wk,68.5,62.4,MONITORING,Established,91.3%,6.0h,3.2/wk
CSE24040,Sreekanth Mohan,ECE S1,recovery,71.4%,7.4h,1.0/wk,65.7,65.7,MONITORING,Established,93.7%,6.0h,4.7/wk
CSE24041,Bindhu Iyer,CSE S1,recovery,71.4%,7.4h,1.0/wk,75.9,55.4,TRIPWIRE,Established,86.5%,7.3h,3.2/wk
