student_id,name,class,archetype,attendance,assignment_delay,lms_activity,dvi,raw_dvi,status,baseline_confidence,baseline_attendance,baseline_submission_delay,baseline_lms_activity
CSE24001,Rahul,S5 CSE,rapid_decline,78.3%,22.0h,7.0/wk,77.8,77.8,TRIPWIRE,Established,92.0%,4.0h,18.0/wk
CSE24002,Arjun Nair,ECE S2,normal,90.0%,5.8h,4.0/wk,61.7,9.1,MONITORING,Established,94.4%,7.8h,3.8/wk
CSE24003,Anjali Krishnan,ECE S1,normal,86.7%,7.1h,5.0/wk,62.1,22.3,MONITORING,Established,92.9%,3.0h,3.8/wk
CSE24004,Akhil Raj,ECE S1,normal,96.7%,6.3h,5.0/wk,51.2,4.0,MONITORING,Established,88.9%,3.9h,2.9/wk
CSE24005,Priya Suresh,CSE S2,normal,95.0%,7.4h,4.0/wk,55.6,5.8,MONITORING,Established,95.2%,6.6h,4.7/wk
CSE24006,Vishnu Kumar,ECE S2,normal,98.3%,8.0h,4.0/wk,1.3,4.3,NORMAL,Established,88.9%,4.9h,3.6/wk
CSE24007,Sneha Pillai,CSE S3,normal,90.0%,6.2h,4.0/wk,2.7,9.1,NORMAL,Established,94.4%,7.1h,3.4/wk
CSE24008,Arun Varma,CSE S1,normal,95.0%,5.2h,1.0/wk,58.1,22.1,MONITORING,Established,95.2%,7.1h,3.4/wk
CSE24009,Kavya Mohan,CSE S2,normal,86.7%,6.4h,1.0/wk,14.1,46.9,NORMAL,Established,96.0%,3.2h,3.2/wk
CSE24010,Deepak Iyer,ECE S2,normal,95.0%,6.8h,3.0/wk,4.5,15.1,NORMAL,Established,88.9%,2.5h,3.4/wk
CSE24011,Lakshmi Das,CSE S3,normal,95.0%,5.2h,3.0/wk,0.3,0.9,NORMAL,Established,92.9%,4.6h,2.7/wk
CSE24012,Sanjay Nambiar,CSE S3,normal,90.0%,7.7h,4.0/wk,3.2,10.7,NORMAL,Established,91.3%,3.7h,4.1/wk
CSE24013,Divya Rajan,CSE S2,normal,95.0%,5.0h,3.0/wk,49.5,3.8,NORMAL,Established,90.5%,4.9h,3.4/wk
CSE24014,Vivek Babu,CSE S1,normal,95.0%,8.2h,5.0/wk,2.0,6.7,NORMAL,Established,94.4%,4.1h,2.9/wk
CSE24015,Meera Pillai,CSE S3,normal,96.7%,7.0h,4.0/wk,1.9,6.3,NORMAL,Established,92.9%,3.6h,1.1/wk
CSE24016,Rohit Menon,CSE S1,normal,98.3%,5.5h,5.0/wk,49.1,0.0,NORMAL,Established,95.2%,5.6h,3.8/wk
CSE24017,Nithya Krishnan,ECE S2,improver,66.7%,11.3h,1.0/wk,22.9,76.5,NORMAL,Established,96.8%,3.9h,4.5/wk
CSE24018,Kiran Suresh,ECE S2,improver,76.7%,8.8h,2.0/wk,14.9,49.7,NORMAL,Established,92.1%,6.6h,3.8/wk
CSE24019,Shreya Nair,CSE S2,improver,60.0%,7.6h,1.0/wk,73.5,64.2,TRIPWIRE,Established,94.4%,7.8h,4.7/wk
CSE24020,Anand Kumar,ECE S2,improver,65.0%,8.9h,1.0/wk,16.7,55.6,NORMAL,Established,94.4%,5.5h,1.6/wk
CSE24021,Pooja Varma,ECE S1,improver,66.7%,9.5h,1.0/wk,69.9,64.2,MONITORING,Established,97.6%,5.1h,2.5/wk
CSE24022,Ravi Pillai,ECE S2,slow_decline,81.7%,6.1h,0.0/wk,15.7,52.2,NORMAL,Established,94.4%,5.5h,2.9/wk
CSE24023,Geetha Raj,ECE S2,slow_decline,81.7%,10.4h,2.0/wk,65.1,28.6,MONITORING,Established,86.5%,6.5h,3.6/wk
CSE24024,Suresh Babu,CSE S1,slow_decline,85.0%,6.5h,0.0/wk,15.3,51.0,NORMAL,Established,96.0%,4.2h,5.4/wk
CSE24025,Amrita Mohan,CSE S1,slow_decline,81.7%,8.8h,0.0/wk,63.1,48.4,MONITORING,Established,85.7%,2.8h,3.8/wk
CSE24026,Vinod Iyer,CSE S3,slow_decline,80.0%,9.1h,3.0/wk,61.8,28.3,MONITORING,Established,90.5%,7.0h,3.4/wk
CSE24027,Rekha Das,ECE S1,slow_decline,83.3%,9.2h,1.0/wk,15.3,51.0,NORMAL,Established,97.6%,9.0h,3.6/wk
CSE24028,Manoj Nambiar,CSE S2,slow_decline,80.0%,7.2h,1.0/wk,65.3,40.8,MONITORING,Established,84.9%,4.3h,6.1/wk
CSE24029,Sindhu Rajan,CSE S2,slow_decline,83.3%,8.6h,1.0/wk,15.0,50.1,NORMAL,Established,96.0%,6.6h,3.6/wk
CSE24030,Ashwin Babu,ECE S2,rapid_decline,45.0%,8.0h,0.0/wk,77.7,66.7,TRIPWIRE,Established,92.1%,6.4h,1.4/wk
CSE24031,Haritha Pillai,ECE S1,rapid_decline,56.7%,8.6h,0.0/wk,67.1,67.1,MONITORING,Established,88.9%,6.5h,2.3/wk
CSE24032,Rajesh Nair,ECE S2,rapid_decline,61.7%,6.9h,0.0/wk,71.6,67.3,TRIPWIRE,Established,95.2%,5.1h,2.5/wk
CSE24033,Suma Krishnan,ECE S2,rapid_decline,60.0%,6.7h,0.0/wk,54.0,70.8,RECOVERING,Established,87.3%,3.6h,1.8/wk
CSE24034,Naveen Suresh,CSE S2,excused,97.2%,4.7h,0.0/wk,62.9,25.0,MONITORING,Established,86.5%,5.6h,2.9/wk
CSE24035,Chithra Kumar,ECE S2,excused,88.9%,6.5h,0.0/wk,69.2,38.0,MONITORING,Established,95.2%,7.0h,3.6/wk
CSE24036,Ajith Varma,ECE S1,excused,97.2%,7.1h,0.0/wk,8.6,28.6,NORMAL,Established,88.1%,4.6h,3.8/wk
CSE24037,Radha Menon,ECE S1,excused,86.1%,7.8h,0.0/wk,70.9,51.3,TRIPWIRE,Established,96.8%,4.6h,2.7/wk
CSE24038,Pramod Raj,CSE S1,excused,94.4%,5.8h,0.0/wk,9.0,30.0,NORMAL,Established,96.8%,5.6h,0.9/wk
CSE24039,Vidya Pillai,CSE S1,recovery,66.7%,7.1h,2.0/wk,65.6,52.8,MONITORING,Established,91.3%,6.0h,3.2/wk
CSE24040,Sreekanth Mohan,ECE S1,recovery,61.7%,7.4h,1.0/wk,65.7,65.7,MONITORING,Established,93.7%,6.0h,4.7/wk
CSE24041,Bindhu Iyer,CSE S1,recovery,56.7%,7.4h,1.0/wk,77.7,61.2,TRIPWIRE,Established,86.5%,7.3h,3.2/wk
CSE24042,Anil Das,CSE S2,recovery,63.3%,5.2h,3.0/wk,43.5,43.5,NORMAL,Established,93.7%,3.4h,2.9/wk
CSE24043,Resmi Nambiar,CSE S1,recovery,68.3%,5.2h,1.0/wk,71.9,62.3,TRIPWIRE,Established,89.7%,3.3h,2.5/wk
CSE24044,Sunil Rajan,CSE S2,monitoring,83.3%,13.3h,0.0/wk,76.7,52.4,TRIPWIRE,Established,95.2%,9.2h,5.6/wk
CSE24045,Jaya Babu,CSE S2,monitoring,80.0%,10.7h,2.0/wk,63.5,21.7,MONITORING,Established,88.9%,8.2h,2.0/wk
CSE24046,Harikrishna Pillai,ECE S2,monitoring,81.7%,14.1h,0.0/wk,68.8,56.6,MONITORING,Established,90.5%,4.9h,1.6/wk
CSE24047,Nisha Nair,CSE S3,monitoring,75.0%,13.9h,0.0/wk,85.8,73.3,TRIPWIRE,Established,95.2%,6.2h,3.4/wk
CSE24048,Rajeev Krishnan,CSE S1,monitoring,83.3%,10.1h,0.0/wk,74.4,55.3,TRIPWIRE,Established,89.7%,2.9h,2.0/wk
CSE24049,Parvathy Suresh,CSE S2,monitoring,71.7%,13.0h,0.0/wk,78.2,76.7,TRIPWIRE,Building (60% calibrated),95.2%,4.2h,5.4/wk
CSE24050,Sreejith Kumar,CSE S2,monitoring,65.0%,8.4h,0.0/wk,20.7,68.8,NORMAL,Building (60% calibrated),95.2%,5.1h,1.1/wk
